Date	Sales Rep	Product	Revenue
2/5/2017	Hyman Irish	Toyota	24189
5/16/2017	Louetta Maloney	Toyota	30569
4/18/2017	Evelynn Mckee	Toyota	29458
4/16/2017	Zona Otis	Honda	15491
9/4/2017	Rudolf Eason	Chevy	40854
4/6/2017	Yulanda Mireles	Ford	51121
6/10/2017	Cami Goodson	Honda	24218
5/14/2017	Adelina Oglesby	Honda	30951
4/21/2017	Hyman Irish	Toyota	21493
8/4/2017	Rudolf Eason	Toyota	30337
1/24/2017	Zona Otis	Honda	33339
12/14/2017	Cami Goodson	Chevy	16558
2/14/2017	Evelynn Mckee	Chevy	29496
8/4/2017	Yulanda Mireles	Chevy	20274
4/21/2017	Zona Otis	Ford	29760
11/28/2017	Evelynn Mckee	Honda	28154
9/16/2017	Earleen Milam	Ford	21674
10/8/2017	Kurtis Osorio	Chevy	25496
7/15/2017	Rudolf Eason	Toyota	31440
11/9/2017	Towanda Pemberton	Chevy	48176
11/18/2017	Earleen Milam	Ford	54351
12/7/2017	Quentin Johns	Chevy	50345
9/20/2017	Ernie Pettigrew	Chevy	40610
4/20/2017	Zona Otis	Toyota	32094
5/26/2017	Timika Poe	Honda	37805
7/16/2017	Kurtis Osorio	Ford	63111
7/10/2017	Earleen Milam	Ford	46742
5/9/2017	Evelynn Mckee	Toyota	22364
10/13/2017	Ernie Pettigrew	Chevy	53092
9/18/2017	Louetta Maloney	Ford	32798
4/12/2017	Yulanda Mireles	Toyota	33153
12/21/2017	Kurtis Osorio	Honda	36626
1/5/2017	Rudolf Eason	Toyota	22901
2/22/2017	Evelynn Mckee	Toyota	16405
6/21/2017	Rudolf Eason	Honda	28313
9/4/2017	Earleen Milam	Chevy	24519
6/5/2017	Towanda Pemberton	Chevy	37018
3/5/2017	Yulanda Mireles	Toyota	34999
1/29/2017	Rudolf Eason	Honda	21760
2/24/2017	Cami Goodson	Honda	29044
6/28/2017	Hyman Irish	Honda	22285
4/15/2017	Julianna Kunz	Chevy	21627
11/6/2017	Timika Poe	Toyota	16729
2/2/2017	Yulanda Mireles	Chevy	34613
4/21/2017	Cami Goodson	Toyota	18156
2/19/2017	Towanda Pemberton	Ford	52701
4/26/2017	Louetta Maloney	Toyota	30409
2/20/2017	Kurtis Osorio	Chevy	43267
10/6/2017	Hyman Irish	Ford	64507
5/20/2017	Cami Goodson	Toyota	20388
11/15/2017	Zona Otis	Ford	60639
4/11/2017	Quentin Johns	Honda	36186
7/26/2017	Ernie Pettigrew	Ford	29075
12/4/2017	Hyman Irish	Ford	30738
3/24/2017	Cami Goodson	Ford	26187
6/3/2017	Yulanda Mireles	Toyota	31932
5/7/2017	Ernie Pettigrew	Chevy	23782
5/25/2017	Towanda Pemberton	Honda	29354
3/4/2017	Earleen Milam	Honda	27207
2/25/2017	Evelynn Mckee	Ford	52471
1/14/2017	Adelina Oglesby	Ford	40160
12/28/2017	Julianna Kunz	Ford	55346
1/25/2017	Cami Goodson	Chevy	30151
5/19/2017	Kurtis Osorio	Chevy	42507
5/22/2017	Quentin Johns	Chevy	32799
5/4/2017	Rudolf Eason	Honda	27989
3/10/2017	Towanda Pemberton	Honda	37052
4/29/2017	Cami Goodson	Ford	40620
8/30/2017	Evelynn Mckee	Honda	23152
1/5/2017	Julianna Kunz	Honda	22114
10/4/2017	Evelynn Mckee	Ford	58787
12/11/2017	Julianna Kunz	Chevy	20673
5/8/2017	Cami Goodson	Chevy	46768
12/17/2017	Adelina Oglesby	Chevy	26587
5/3/2017	Yulanda Mireles	Honda	17821
10/15/2017	Ernie Pettigrew	Toyota	31119
5/2/2017	Kurtis Osorio	Toyota	22296
7/23/2017	Evelynn Mckee	Chevy	43006
5/7/2017	Timika Poe	Ford	60482
6/4/2017	Zona Otis	Toyota	18158
4/16/2017	Earleen Milam	Chevy	26787
9/23/2017	Hyman Irish	Toyota	19813
4/22/2017	Louetta Maloney	Ford	27434
9/5/2017	Earleen Milam	Chevy	48202
7/3/2017	Kurtis Osorio	Toyota	30378
5/1/2017	Timika Poe	Ford	47840
8/15/2017	Adelina Oglesby	Ford	57434
3/18/2017	Ernie Pettigrew	Chevy	33395
10/1/2017	Adelina Oglesby	Ford	59902
7/29/2017	Kurtis Osorio	Ford	59337
5/4/2017	Cami Goodson	Honda	38805
7/28/2017	Adelina Oglesby	Honda	34451
3/11/2017	Adelina Oglesby	Ford	52533
6/5/2017	Quentin Johns	Ford	25752
6/23/2017	Hyman Irish	Ford	37374
10/16/2017	Yulanda Mireles	Honda	16719
2/18/2017	Yulanda Mireles	Honda	34980
10/9/2017	Kurtis Osorio	Honda	32943
2/22/2017	Quentin Johns	Chevy	20630
1/21/2017	Adelina Oglesby	Toyota	26396
1/24/2017	Earleen Milam	Ford	48850
8/13/2017	Earleen Milam	Ford	60840
6/9/2017	Quentin Johns	Toyota	21203
4/6/2017	Ernie Pettigrew	Toyota	34525
1/4/2017	Quentin Johns	Honda	14638
1/26/2017	Yulanda Mireles	Toyota	31232
5/31/2017	Evelynn Mckee	Toyota	21691
3/25/2017	Julianna Kunz	Chevy	54362
2/26/2017	Adelina Oglesby	Chevy	22894
1/13/2017	Louetta Maloney	Chevy	16495
2/8/2017	Towanda Pemberton	Toyota	33582
3/16/2017	Rudolf Eason	Ford	36529
6/16/2017	Zona Otis	Chevy	41409
6/6/2017	Quentin Johns	Chevy	28087
7/28/2017	Kurtis Osorio	Chevy	44911
10/24/2017	Rudolf Eason	Honda	16371
